tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",6.4,94152
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,6.6,8557
tt0082328,movie,Embodiment of Evil,Encarnação do Demônio,0,2008,,94,Horror,5.9,1939
tt0113026,movie,The Fantasticks,The Fantasticks,0,2000,,86,"Musical,Romance",5.7,1294
tt0118141,movie,What Is It?,What Is It?,0,2005,,72,Drama,5.2,1032
tt0118589,movie,Glitter,Glitter,0,2001,,104,"Drama,Music,Romance",2.5,23415
tt0118652,movie,The Attic Expeditions,The Attic Expeditions,0,2001,,100,"Comedy,Horror,Mystery",4.9,2011
tt0118694,movie,In the Mood for Love,Fa yeung nin wah,0,2000,,98,"Drama,Romance",8.0,189528
tt0118852,movie,Chinese Coffee,Chinese Coffee,0,2000,,99,Drama,7.0,5063
tt0118926,movie,The Dancer Upstairs,The Dancer Upstairs,0,2002,,132,"Crime,Drama,Thriller",6.9,7232
tt0119004,movie,Don's Plum,Don's Plum,0,2001,,89,"Comedy,Drama",5.5,5026
tt0119273,movie,Heavy Metal 2000,Heavy Metal 2000,0,2000,,88,"Action,Adventure,Animation",5.4,10268
tt0120202,movie,State and Main,State and Main,0,2000,,105,"Comedy,Drama",6.7,23556
tt0120263,movie,Songs from the Second Floor,Sånger från andra våningen,0,2000,,98,"Comedy,Drama",7.5,21600
tt0120467,movie,Vulgar,Vulgar,0,2000,,87,"Crime,Drama,Thriller",5.2,4399
tt0120626,movie,April Captains,Capitães de Abril,0,2000,,123,"Drama,History,War",7.1,3642
tt0120630,movie,Chicken Run,Chicken Run,0,2000,,84,"Adventure,Animation,Comedy",7.1,225544
tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,,106,"Action,Adventure,Fantasy",5.7,375028
tt0120679,movie,Frida,Frida,0,2002,,123,"Biography,Drama,Romance",7.3,101581
tt0120681,movie,From Hell,From Hell,0,2001,,122,"Crime,Horror,Mystery",6.7,172258
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,,178,"Adventure,Drama,Fantasy",8.9,2214495
tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000,,122,"Drama,Mystery,Romance",5.7,23272
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,,123,"Action,Adventure,Thriller",6.1,415440
tt0120804,movie,Resident Evil,Resident Evil,0,2002,,100,"Action,Horror,Sci-Fi",6.6,312007
tt0120824,movie,The Shipping News,The Shipping News,0,2001,,111,Drama,6.7,34876
tt0120903,movie,X-Men,X-Men,0,2000,,104,"Action,Adventure,Sci-Fi",7.3,693763
tt0120912,movie,Men in Black II,Men in Black II,0,2002,,88,"Action,Adventure,Comedy",6.2,433059
tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,,94,"Action,Adventure,Animation",6.6,66903
tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,,78,"Adventure,Animation,Comedy",7.4,250249
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,,77,"Animation,Comedy,Drama",7.4,329390
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,,142,"Action,Adventure,Fantasy",6.6,824800
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,,140,"Action,Adventure,Fantasy",7.7,926480
tt0122459,movie,Return to Me,Return to Me,0,2000,,115,"Comedy,Drama,Romance",7.0,25136
tt0123003,movie,Bruno,Bruno,0,2000,,108,"Comedy,Drama",6.0,1674
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,,123,"Comedy,Crime,Romance",6.3,62340
tt0126029,movie,Shrek,Shrek,0,2001,,90,"Adventure,Animation,Comedy",7.9,814029
tt0127349,movie,Waking the Dead,Waking the Dead,0,2000,,105,"Drama,Mystery,Romance",6.4,7967
tt0130623,movie,Dinosaur,Dinosaur,0,2000,,82,"Adventure,Animation,Drama",6.4,73107
tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky and Bullwinkle,0,2000,,92,"Adventure,Comedy,Family",4.3,21962
tt0132245,movie,Driven,Driven,0,2001,,116,"Action,Drama,Sport",4.6,45292
tt0132910,movie,The Crow: Salvation,The Crow: Salvation,0,2000,,102,"Action,Crime,Fantasy",4.9,13781
tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,,120,"Action,Adventure,Sci-Fi",5.7,242303
tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,,95,"Action,Adventure,Animation",7.2,148939
tt0134084,movie,Scream 3,Scream 3,0,2000,,116,"Horror,Mystery",5.7,186379
tt0134630,movie,Duets,Duets,0,2000,,112,"Comedy,Drama,Music",6.2,10519
tt0134847,movie,Pitch Black,Pitch Black,0,2000,,109,"Horror,Sci-Fi,Thriller",7.0,264677
tt0134983,movie,Supernova,Supernova,0,2000,,90,"Horror,Sci-Fi,Thriller",4.9,21072
tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003,,100,"Comedy,Crime,Romance",6.3,106064
tt0138749,movie,The Road to El Dorado,The Road to El Dorado,0,2000,,89,"Adventure,Animation,Comedy",6.9,119671
tt0138946,movie,The Yards,The Yards,0,2000,,115,"Crime,Drama,Romance",6.4,24879
tt0139388,movie,It Had to Be You,It Had to Be You,0,2000,,96,"Comedy,Romance",5.7,3021
tt0139500,movie,In Vanda's Room,No Quarto da Vanda,0,2000,,171,Drama,7.0,1908
tt0139654,movie,Training Day,Training Day,0,2001,,122,"Crime,Drama,Thriller",7.8,519530
tt0141399,movie,Isn't She Great,Isn't She Great,0,2000,,95,"Biography,Comedy,Drama",5.4,2639
tt0141907,movie,Town & Country,Town & Country,0,2001,,104,"Comedy,Romance",4.5,5451
